1			A\A*		1				2				6				0.023824453353881836
1			A\A*		2				2				5				0.014519453048706055
1			A\A*		3				3				23				0.07010602951049805
1			A\A*		4				4				1				0.0036067962646484375
2			A\A*		1				3				14				0.04783225059509277
2			A\A*		2				3				5				0.015465259552001953
2			A\A*		3				3				5				0.016292095184326172
2			A\A*		4				4				1				0.003880023956298828
3			A\A*		1				4				17				0.07969498634338379
3			A\A*		2				4				5				0.018182992935180664
3			A\A*		3				4				5				0.021669387817382812
3			A\A*		4				5				1				0.0048351287841796875
4			A\A*		1				4				12				0.05191516876220703
4			A\A*		2				4				5				0.024461984634399414
4			A\A*		3				4				22				0.16891860961914062
4			A\A*		4				5				1				0.004104137420654297
5			A\A*		1				4				14				0.05342292785644531
5			A\A*		2				4				5				0.030107498168945312
5			A\A*		3				4				5				0.022417783737182617
5			A\A*		4				5				1				0.005087852478027344
6			A\A*		1				4				19				0.09798145294189453
6			A\A*		2				4				7				0.038773536682128906
6			A\A*		3				4				7				0.03816652297973633
6			A\A*		4				5				1				0.0054492950439453125
