1			GBFS	\t	12				6				0.026846885681152344
1			GBFS	\t	22				5				0.01566290855407715
1			GBFS	\t	33				23				0.12099289894104004
1			GBFS	\t	44				1				0.0031397342681884766
2			GBFS	\t	13				14				0.04062080383300781
2			GBFS	\t	23				5				0.015576839447021484
2			GBFS	\t	33				5				0.0222017765045166
2			GBFS	\t	44				1				0.00547480583190918
3			GBFS	\t	15				12				0.05992531776428223
3			GBFS	\t	25				10				0.033562660217285156
3			GBFS	\t	35				5				0.028285741806030273
3			GBFS	\t	46				1				0.004389524459838867
4			GBFS	\t	15				9				0.032590627670288086
4			GBFS	\t	24				12				0.047861337661743164
4			GBFS	\t	34				5				0.019912004470825195
4			GBFS	\t	45				1				0.006534099578857422
5			GBFS	\t	14				9				0.03795456886291504
5			GBFS	\t	24				6				0.026851654052734375
5			GBFS	\t	34				5				0.020603656768798828
5			GBFS	\t	45				1				0.004223346710205078
6			GBFS	\t	14				26				0.1094207763671875
6			GBFS	\t	24				10				0.11110949516296387
6			GBFS	\t	34				5				0.022938966751098633
6			GBFS	\t	45				1				0.004753589630126953
